Index,Name,Party,Type,twitter,Ministership / Focus
440,"Luke, Lord",Conservative,Lord,,
441,"Lyell, Lord",Conservative,Lord,,
442,"Lytton, Earl",Crossbench,Lord,,
443,"Macaulay of Bragar, Lord",Other,Lord,,
444,"Macdonald of River Glaven, Lord",Liberal Democrat,Lord,,
445,"Macdonald of Tradeston, Lord",Labour,Lord,,
446,"Macfarlane of Bearsden, Lord",Conservative,Lord,,
447,"MacGregor of Pulham Market, Lord",Conservative,Lord,,
448,"Mackay of Clashfern, Lord",Conservative,Lord,,
449,"Mackay of Drumadoon, Lord",Other,Lord,,
450,"MacKenzie of Culkein, Lord",Labour,Lord,,
451,"Mackenzie of Framwellgate, Lord",Labour,Lord,,
452,"Mackie of Benshie, Lord",Other,Lord,,
453,"MacLaurin of Knebworth, Lord",Conservative,Lord,,
454,"Maclennan of Rogart, Lord",Liberal Democrat,Lord,,
455,"Maddock, Baroness",Liberal Democrat,Lord,,
456,"Magan of Castletown, Lord",Conservative,Lord,,
457,"Maginnis of Drumglass, Lord",Non-affiliated (current Member),Lord,,
458,"Mallalieu, Baroness",Labour,Lord,,
459,"Malloch-Brown, Lord",Crossbench,Lord,,
460,"Mance, Lord",Other,Lord,,
461,"Mancroft, Lord",Conservative,Lord,,
462,"Mandelson, Lord",Labour,Lord,,
463,"Manningham-Buller, Baroness",Crossbench,Lord,,
464,"Mar and Kellie, Earl",Liberal Democrat,Lord,,
465,"Mar, Countess",Crossbench,Lord,,
466,"Marks of Henley-on-Thames, Lord",Liberal Democrat,Lord,,
467,"Marland, Lord",Conservative,Lord,,
468,"Marlesford, Lord",Conservative,Lord,,
469,"Martin of Springburn, Lord",Crossbench,Lord,,
470,"Masham of Ilton, Baroness",Crossbench,Lord,,
471,"Mason of Barnsley, Lord",Other,Lord,,
472,"Massey of Darwen, Baroness",Labour,Lord,,
473,"Mawhinney, Lord",Conservative,Lord,,
474,"Mawson, Lord",Crossbench,Lord,,
475,"Maxton, Lord",Labour,Lord,,
476,"May of Oxford, Lord",Crossbench,Lord,,
477,"Mayhew of Twysden, Lord",Conservative,Lord,,
478,"McAvoy, Lord",Labour,Lord,,
479,"McCluskey, Lord",Crossbench,Lord,,
480,"McColl of Dulwich, Lord",Conservative,Lord,,
482,"McDonagh, Baroness",Labour,Lord,,
483,"McFall of Alcluith, Lord",Labour,Lord,,
484,"McIntosh of Hudnall, Baroness",Labour,Lord,,
485,"McKenzie of Luton, Lord",Labour,Lord,,
487,"Meacher, Baroness",Crossbench,Lord,,
488,"Methuen, Lord",Liberal Democrat,Lord,,
489,"Miller of Chilthorne Domer, Baroness",Liberal Democrat,Lord,,
490,"Miller of Hendon, Baroness",Conservative,Lord,,
491,"Millett, Lord",Other,Lord,,
492,"Mitchell, Lord",Labour,Lord,,
493,"Mogg, Lord",Crossbench,Lord,,
494,"Molyneaux of Killead, Lord",Other,Lord,,
495,"Monks, Lord",Labour,Lord,,
496,"Montagu of Beaulieu, Lord",Conservative,Lord,,
497,"Montgomery of Alamein, Viscount",Crossbench,Lord,,
498,"Montrose, Duke",Conservative,Lord,,
499,"Moonie, Lord",Labour,Lord,,
500,"Moore of Lower Marsh, Lord",Conservative,Lord,,
501,"Moran, Lord",Crossbench,Lord,,
502,"Morgan of Drefelin, Baroness",Crossbench,Lord,,
503,"Morgan of Ely, Baroness",Labour,Lord,,
504,"Morgan of Huyton, Baroness",Labour,Lord,,
505,"Morgan, Lord",Labour,Lord,,
506,"Morris of Aberavon, Lord",Labour,Lord,,
507,"Morris of Bolton, Baroness",Conservative,Lord,,
508,"Morris of Handsworth, Lord",Labour,Lord,,
509,"Morris of Yardley, Baroness",Labour,Lord,,
510,"Morrow, Lord",Democratic Unionist,Lord,,
511,"Moser, Lord",Crossbench,Lord,,
512,"Moynihan, Lord",Conservative,Lord,,
513,"Murphy, Baroness",Crossbench,Lord,,
514,"Mustill, Lord",Other,Lord,,
515,"Myners, Lord",Labour,Lord,,
516,"Naseby, Lord",Conservative,Lord,,
517,"Nash, Lord",Conservative,Lord,,
518,"Neill of Bladen, Lord",Crossbench,Lord,,
519,"Neuberger of Abbotsbury, Lord",Other,Lord,,
520,"Neuberger, Baroness",Crossbench,Lord,,
521,"Neville-Jones, Baroness",Conservative,Lord,,
523,"Newcastle, Bishop",Bishops,Lord,,
524,"Newlove, Baroness",Conservative,Lord,,
525,"Nicholls of Birkenhead, Lord",Crossbench,Lord,,
526,"Nicholson of Winterbourne, Baroness",Liberal Democrat,Lord,,
527,"Nickson, Lord",Crossbench,Lord,,
528,"Nicol, Baroness",Other,Lord,,
529,"Noakes, Baroness",Conservative,Lord,,
530,"Noon, Lord",Labour,Lord,,
531,"Norfolk, Duke",Other,Lord,,
532,"Northbourne, Lord",Crossbench,Lord,,
533,"Northbrook, Lord",Conservative,Lord,,
534,"Northfield, Lord",Other,Lord,,
537,"Norwich, Bishop",Bishops,Lord,,
538,"Nye, Baroness",Labour,Lord,,
539,"Oakeshott of Seagrove Bay, Lord",Liberal Democrat,Lord,,
540,"O'Cathain, Baroness",Conservative,Lord,,
541,"O'Donnell, Lord",Crossbench,Lord,,
542,"O'Loan, Baroness",Crossbench,Lord,,
543,"O'Neill of Bengarve, Baroness",Crossbench,Lord,,
544,"O'Neill of Clackmannan, Lord",Labour,Lord,,
545,"Oppenheim-Barnes, Baroness",Conservative,Lord,,
546,"Ouseley, Lord",Crossbench,Lord,,
547,"Owen, Lord",Crossbench,Lord,,
548,"Oxburgh, Lord",Crossbench,Lord,,
549,"Oxford, Bishop",Bishops,Lord,,
550,"Paisley of St George's, Baroness",Democratic Unionist,Lord,,
551,"Palmer of Childs Hill, Lord",Liberal Democrat,Lord,,
552,"Palmer, Lord",Crossbench,Lord,,
553,"Palumbo, Lord",Conservative,Lord,,
554,"Pannick, Lord",Crossbench,Lord,,
555,"Parekh, Lord",Labour,Lord,,
556,"Parkinson, Lord",Conservative,Lord,,
557,"Parminter, Baroness",Liberal Democrat,Lord,,
558,"Patel of Blackburn, Lord",Labour,Lord,,
559,"Patel of Bradford, Lord",Labour,Lord,,
560,"Patel, Lord",Crossbench,Lord,,
561,"Patten of Barnes, Lord",Crossbench,Lord,,
562,"Patten, Lord",Conservative,Lord,,
563,"Paul, Lord",Non-affiliated (current Member),Lord,,
564,"Pearson of Rannoch, Lord",UK Independence Party,Lord,,
565,"Peel, Earl",Crossbench,Lord,,
566,"Pendry, Lord",Labour,Lord,,
567,"Perry of Southwark, Baroness",Conservative,Lord,,
568,"Peston, Lord",Labour,Lord,,
569,"Phillips of Sudbury, Lord",Liberal Democrat,Lord,,
570,"Phillips of Worth Matravers, Lord",Crossbench,Lord,,
571,"Pitkeathley, Baroness",Labour,Lord,,
572,"Plant of Highfield, Lord",Labour,Lord,,
573,"Platt of Writtle, Baroness",Other,Lord,,
574,"Plumb, Lord",Conservative,Lord,,
575,"Ponsonby of Shulbrede, Lord",Labour,Lord,,
576,"Popat, Lord",Conservative,Lord,,
577,"Powell of Bayswater, Lord",Crossbench,Lord,,
578,"Prashar, Baroness",Crossbench,Lord,,
580,"Prior, Lord",Other,Lord,,
581,"Prosser, Baroness",Labour,Lord,,
582,"Prys-Davies, Lord",Other,Lord,,
583,"Puttnam, Lord",Labour,Lord,,
584,"Quin, Baroness",Labour,Lord,,
585,"Quirk, Lord",Crossbench,Lord,,
586,"Radice, Lord",Labour,Lord,,
587,"Ramsay of Cartvale, Baroness",Labour,Lord,,
588,"Ramsbotham, Lord",Crossbench,Lord,,
589,"Rana, Lord",Crossbench,Lord,,
590,"Randerson, Baroness",Liberal Democrat,Lord,,
592,"Razzall, Lord",Liberal Democrat,Lord,,
593,"Rea, Lord",Labour,Lord,,
594,"Reay, Lord",Conservative,Lord,,
595,"Redesdale, Lord",Liberal Democrat,Lord,,
596,"Rees of Ludlow, Lord",Crossbench,Lord,,
597,"Reid of Cardowan, Lord",Labour,Lord,,
598,"Rendell of Babergh, Baroness",Labour,Lord,,
599,"Renfrew of Kaimsthorn, Lord",Conservative,Lord,,
601,"Renton of Mount Harry, Lord",Conservative,Lord,,
602,"Renwick of Clifton, Lord",Crossbench,Lord,,
603,"Ribeiro, Lord",Conservative,Lord,,
604,"Richard, Lord",Labour,Lord,,
605,"Richardson of Calow, Baroness",Crossbench,Lord,,
606,"Ripon and Leeds, Bishop",Bishops,Lord,,
607,"Risby, Lord",Conservative,Lord,,
608,"Rix, Lord",Crossbench,Lord,,
609,"Roberts of Conwy, Lord",Conservative,Lord,,
610,"Roberts of Llandudno, Lord",Liberal Democrat,Lord,,
611,"Robertson of Port Ellen, Lord",Labour,Lord,,
612,"Rodgers of Quarry Bank, Lord",Liberal Democrat,Lord,,
613,"Rogan, Lord",Ulster Unionist Party,Lord,,
614,"Rogers of Riverside, Lord",Labour,Lord,,
615,"Rooker, Lord",Labour Independent,Lord,,
616,"Roper, Lord",Liberal Democrat,Lord,,
617,"Rosser, Lord",Labour,Lord,,
618,"Rosslyn, Earl",Crossbench,Lord,,
619,"Rotherwick, Lord",Conservative,Lord,,
620,"Rowe-Beddoe, Lord",Crossbench,Lord,,
621,"Rowlands, Lord",Labour,Lord,,
623,"Ryder of Wensum, Lord",Conservative,Lord,,
624,"Saatchi, Lord",Conservative,Lord,,
626,"Sainsbury of Preston Candover, Lord",Other,Lord,,
627,"Sainsbury of Turville, Lord",Labour,Lord,,
628,"Salisbury, Marquess",Other,Lord,,
629,"Saltoun of Abernethy, Lady",Crossbench,Lord,,
630,"Sandberg, Lord",Other,Lord,,
631,"Sanderson of Bowden, Lord",Conservative,Lord,,
632,"Sandwich, Earl",Crossbench,Lord,,
634,"Saville of Newdigate, Lord",Crossbench,Lord,,
635,"Sawyer, Lord",Labour,Lord,,
636,"Scotland of Asthal, Baroness",Labour,Lord,,
637,"Scott of Foscote, Lord",Crossbench,Lord,,
638,"Scott of Needham Market, Baroness",Liberal Democrat,Lord,,
639,"Seccombe, Baroness",Conservative,Lord,,
640,"Selborne, Earl",Conservative,Lord,,
641,"Selkirk of Douglas, Lord",Conservative,Lord,,
642,"Selsdon, Lord",Conservative,Lord,,
643,"Sewel, Lord",Non-affiliated (current Member),Lord,,
644,"Shackleton of Belgravia, Baroness",Conservative,Lord,,
645,"Sharkey, Lord",Liberal Democrat,Lord,,
646,"Sharman, Lord",Liberal Democrat,Lord,,
647,"Sharp of Guildford, Baroness",Liberal Democrat,Lord,,
648,"Sharples, Baroness",Conservative,Lord,,
649,"Shaw of Northstead, Lord",Conservative,Lord,,
650,"Sheikh, Lord",Conservative,Lord,,
651,"Sheldon, Lord",Labour,Lord,,
652,"Shephard of Northwold, Baroness",Conservative,Lord,,
653,"Sheppard of Didgemere, Lord",Conservative,Lord,,
654,"Sherlock, Baroness",Labour,Lord,,
655,"Shipley, Lord",Liberal Democrat,Lord,,
656,"Shrewsbury, Earl",Conservative,Lord,,
657,"Shutt of Greetland, Lord",Liberal Democrat,Lord,,
658,"Simon of Highbury, Lord",Other,Lord,,
659,"Simon, Viscount",Labour,Lord,,
660,"Simpson of Dunkeld, Lord",Other,Lord,,
661,"Singh of Wimbledon, Lord",Crossbench,Lord,,
662,"Skelmersdale, Lord",Conservative,Lord,,
663,"Skidelsky, Lord",Crossbench,Lord,,
664,"Slim, Viscount",Crossbench,Lord,,
665,"Smith of Basildon, Baroness",Labour,Lord,,
666,"Smith of Clifton, Lord",Liberal Democrat,Lord,,
667,"Smith of Finsbury, Lord",Non-affiliated (current Member),Lord,,
668,"Smith of Gilmorehill, Baroness",Labour,Lord,,
669,"Smith of Kelvin, Lord",Crossbench,Lord,,
670,"Smith of Leigh, Lord",Labour,Lord,,
671,"Snape, Lord",Labour,Lord,,
672,"Snowdon, Earl",Other,Lord,,
673,"Soley, Lord",Labour,Lord,,
674,"Soulsby of Swaffham Prior, Lord",Conservative,Lord,,
675,"Spicer, Lord",Conservative,Lord,,
676,"St Edmundsbury and Ipswich, Bishop",Bishops,Lord,,
677,"St John of Bletso, Lord",Crossbench,Lord,,
678,"Stair, Earl",Crossbench,Lord,,
679,"Stedman-Scott, Baroness",Conservative,Lord,,
680,"Steel of Aikwood, Lord",Liberal Democrat,Lord,,
681,"Stephen, Lord",Liberal Democrat,Lord,,
682,"Sterling of Plaistow, Lord",Conservative,Lord,,
683,"Stern of Brentford, Lord",Crossbench,Lord,,
684,"Stern, Baroness",Crossbench,Lord,,
685,"Stevens of Kirkwhelpington, Lord",Crossbench,Lord,,
686,"Stevens of Ludgate, Lord",Conservative Independent,Lord,,
687,"Stevenson of Balmacara, Lord",Labour,Lord,,
688,"Stevenson of Coddenham, Lord",Crossbench,Lord,,
689,"Stewartby, Lord",Conservative,Lord,,
690,"Steyn, Lord",Crossbench,Lord,,
691,"Stirrup, Lord",Crossbench,Lord,,
692,"Stoddart of Swindon, Lord",Independent Labour,Lord,,
693,"Stone of Blackheath, Lord",Labour,Lord,,
694,"Stoneham of Droxford, Lord",Liberal Democrat,Lord,,
700,"Sutherland of Houndwood, Lord",Crossbench,Lord,,
701,"Swinfen, Lord",Conservative,Lord,,
702,"Symons of Vernham Dean, Baroness",Labour,Lord,,
703,"Tanlaw, Lord",Crossbench,Lord,,
704,"Taverne, Lord",Liberal Democrat,Lord,,
705,"Taylor of Blackburn, Lord",Labour,Lord,,
706,"Taylor of Bolton, Baroness",Labour,Lord,,
707,"Taylor of Goss Moor, Lord",Liberal Democrat,Lord,,
709,"Taylor of Warwick, Lord",Non-affiliated (current Member),Lord,,
710,"Tebbit, Lord",Conservative,Lord,,
711,"Templeman, Lord",Other,Lord,,
712,"Temple-Morris, Lord",Labour,Lord,,
713,"Tenby, Viscount",Crossbench,Lord,,
715,"Thatcher, Baroness",Conservative,Lord,,
716,"Thomas of Gresford, Lord",Liberal Democrat,Lord,,
717,"Thomas of Macclesfield, Lord",Other,Lord,,
718,"Thomas of Swynnerton, Lord",Crossbench,Lord,,
719,"Thomas of Walliswood, Baroness",Liberal Democrat,Lord,,
720,"Thomas of Winchester, Baroness",Liberal Democrat,Lord,,
721,"Thornton, Baroness",Labour,Lord,,
722,"Tombs, Lord",Crossbench,Lord,,
723,"Tomlinson, Lord",Labour,Lord,,
724,"Tonge, Baroness",Independent Liberal Democrat,Lord,,
725,"Tope, Lord",Liberal Democrat,Lord,,
726,"Tordoff, Lord",Liberal Democrat,Lord,,
727,"Touhig, Lord",Labour,Lord,,
728,"Trees, Lord",Crossbench,Lord,,
729,"Trefgarne, Lord",Conservative,Lord,,
730,"Trenchard, Viscount",Conservative,Lord,,
731,"Triesman, Lord",Labour,Lord,,
732,"Trimble, Lord",Conservative,Lord,,
733,"True, Lord",Conservative,Lord,,
734,"Trumpington, Baroness",Conservative,Lord,,
735,"Truro, Bishop",Bishops,Lord,,
736,"Truscott, Lord",Non-affiliated (current Member),Lord,,
737,"Tugendhat, Lord",Conservative,Lord,,
738,"Tunnicliffe, Lord",Labour,Lord,,
739,"Turnberg, Lord",Labour,Lord,,
740,"Turnbull, Lord",Crossbench,Lord,,
741,"Turner of Camden, Baroness",Labour,Lord,,
742,"Turner of Ecchinswell, Lord",Crossbench,Lord,,
743,"Tyler of Enfield, Baroness",Liberal Democrat,Lord,,
744,"Tyler, Lord",Liberal Democrat,Lord,,
745,"Uddin, Baroness",Non-affiliated (current Member),Lord,,
746,"Ullswater, Viscount",Conservative,Lord,,
747,"Vadera, Baroness",Other,Lord,,
748,"Valentine, Baroness",Crossbench,Lord,,
749,"Vallance of Tummel, Lord",Liberal Democrat,Lord,,
751,"Vincent of Coleshill, Lord",Other,Lord,,
752,"Vinson, Lord",Conservative,Lord,,
753,"Waddington, Lord",Conservative,Lord,,
754,"Wade of Chorlton, Lord",Conservative,Lord,,
755,"Wakefield, Bishop",Bishops,Lord,,
756,"Wakeham, Lord",Conservative,Lord,,
757,"Waldegrave of North Hill, Lord",Conservative,Lord,,
758,"Walker of Aldringham, Lord",Crossbench,Lord,,
759,"Walker of Gestingthorpe, Lord",Other,Lord,,
760,"Wall of New Barnet, Baroness",Labour,Lord,,
762,"Wallace of Tankerness, Lord",Liberal Democrat,Lord,,
763,"Walmsley, Baroness",Liberal Democrat,Lord,,
764,"Walpole, Lord",Crossbench,Lord,,
765,"Walton of Detchant, Lord",Crossbench,Lord,,
766,"Warner, Lord",Labour,Lord,,
767,"Warnock, Baroness",Crossbench,Lord,,
768,"Warsi, Baroness",Conservative,Lord,,
769,"Warwick of Undercliffe, Baroness",Labour,Lord,,
770,"Wasserman, Lord",Conservative,Lord,,
771,"Watson of Invergowrie, Lord",Labour,Lord,,
772,"Watson of Richmond, Lord",Liberal Democrat,Lord,,
773,"Waverley, Viscount",Crossbench,Lord,,
774,"Wei, Lord",Conservative,Lord,,
775,"Weidenfeld, Lord",Crossbench,Lord,,
776,"West of Spithead, Lord",Labour,Lord,,
777,"Wheatcroft, Baroness",Conservative,Lord,,
778,"Wheeler, Baroness",Labour,Lord,,
779,"Whitaker, Baroness",Labour,Lord,,
780,"Whitty, Lord",Labour,Lord,,
781,"Wigley, Lord",Plaid Cymru,Lord,,
782,"Wilcox, Baroness",Conservative,Lord,,
783,"Wilkins, Baroness",Labour,Lord,,
784,"Williams of Baglan, Lord",Crossbench,Lord,,
785,"Williams of Crosby, Baroness",Liberal Democrat,Lord,,
786,"Williams of Elvel, Lord",Labour,Lord,,
787,"Williams of Oystermouth, Lord",Crossbench,Lord,,
788,"Williamson of Horton, Lord",Crossbench,Lord,,
789,"Willis of Knaresborough, Lord",Liberal Democrat,Lord,,
790,"Willoughby de Broke, Lord",UK Independence Party,Lord,,
791,"Wills, Lord",Labour,Lord,,
792,"Wilson of Dinton, Lord",Crossbench,Lord,,
793,"Wilson of Tillyorn, Lord",Crossbench,Lord,,
794,"Winchester, Bishop",Bishops,Lord,,
795,"Winston, Lord",Labour,Lord,,
796,"Wolfson of Aspley Guise, Lord",Conservative,Lord,,
797,"Wolfson of Sunningdale, Lord",Conservative,Lord,,
798,"Wood of Anfield, Lord",Labour,Lord,,
799,"Woolf, Lord",Crossbench,Lord,,
800,"Woolmer of Leeds, Lord",Labour,Lord,,
801,"Worcester, Bishop",Bishops,Lord,,
802,"Worthington, Baroness",Labour,Lord,,
803,"Wright of Richmond, Lord",Crossbench,Lord,,
804,"York, Archbishop",Bishops,Lord,,
805,"Young of Graffham, Lord",Conservative,Lord,,
806,"Young of Hornsey, Baroness",Crossbench,Lord,,
807,"Young of Norwood Green, Lord",Labour,Lord,,
808,"Young of Old Scone, Baroness",Non-affiliated (current Member),Lord,,
809,"Younger of Leckie, Viscount",Conservative,Lord,,
